Series ID,Series Name,Units,Region Name,Region Code,2020-01-01,2021-01-01
FBITC001001,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Autauga County, AL",01001,326.0,327.0
FBITC001003,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Baldwin County, AL",01003,,
FBITC001005,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Barbour County, AL",01005,,74.0
FBITC001007,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Bibb County, AL",01007,,130.0
FBITC001009,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Blount County, AL",01009,,325.0
FBITC001011,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Bullock County, AL",01011,,
FBITC001013,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Butler County, AL",01013,,
FBITC001015,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Calhoun County, AL",01015,,
FBITC001017,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Chambers County, AL",01017,,
FBITC001019,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Cherokee County, AL",01019,380.0,410.0
FBITC001021,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Chilton County, AL",01021,,
FBITC001023,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Choctaw County, AL",01023,,
FBITC001025,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Clarke County, AL",01025,95.0,162.0
FBITC001027,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Clay County, AL",01027,,90.0
FBITC001029,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Cleburne County, AL",01029,,206.0
FBITC001031,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Coffee County, AL",01031,,
FBITC001033,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Colbert County, AL",01033,,302.0
FBITC001035,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Conecuh County, AL",01035,,
FBITC001037,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Coosa County, AL",01037,,
FBITC001039,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Covington County, AL",01039,,109.0
FBITC001041,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Crenshaw County, AL",01041,,89.0
FBITC001043,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Cullman County, AL",01043,,1027.0
FBITC001045,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Dale County, AL",01045,,
FBITC001047,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Dallas County, AL",01047,,383.0
FBITC001049,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"De Kalb County, AL",01049,,225.0
FBITC001051,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Elmore County, AL",01051,,
FBITC001053,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Escambia County, AL",01053,,
FBITC001055,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Etowah County, AL",01055,,148.0
FBITC001057,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Fayette County, AL",01057,,30.0
FBITC001059,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Franklin County, AL",01059,,
FBITC001061,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Geneva County, AL",01061,,174.0
FBITC001063,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Greene County, AL",01063,,
FBITC001065,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Hale County, AL",01065,,
FBITC001067,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Henry County, AL",01067,,72.0
FBITC001069,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Houston County, AL",01069,,124.0
FBITC001071,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Jackson County, AL",01071,,
FBITC001073,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Jefferson County, AL",01073,,
FBITC001075,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Lamar County, AL",01075,,
FBITC001077,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Lauderdale County, AL",01077,,472.0
FBITC001079,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Lawrence County, AL",01079,,98.0
FBITC001081,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Lee County, AL",01081,,
FBITC001083,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Limestone County, AL",01083,,
FBITC001085,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Lowndes County, AL",01085,,288.0
FBITC001087,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Macon County, AL",01087,,21.0
FBITC001089,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Madison County, AL",01089,,
FBITC001091,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Marengo County, AL",01091,114.0,45.0
FBITC001093,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Marion County, AL",01093,,36.0
FBITC001095,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Marshall County, AL",01095,,332.0
FBITC001097,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Mobile County, AL",01097,,1553.0
FBITC001099,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Monroe County, AL",01099,,57.0
FBITC001101,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Montgomery County, AL",01101,,
FBITC001103,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Morgan County, AL",01103,,
FBITC001105,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Perry County, AL",01105,,
FBITC001107,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Pickens County, AL",01107,,
FBITC001109,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Pike County, AL",01109,,
FBITC001111,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Randolph County, AL",01111,,244.0
FBITC001113,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Russell County, AL",01113,,
FBITC001115,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"St. Clair County, AL",01115,,163.0
FBITC001117,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Shelby County, AL",01117,,29.0
FBITC001119,Combined Violent and Property Crime Offenses Known to Law Enforcement by County,Known Offenses,"Sumter County, AL",01119,,
