Series ID,Series Name,Units,Region Name,Region Code,2021-01-01,2022-01-01,2023-01-01
HOWNRATEACS001001,Homeownership Rate (5-year estimate) by County,Rate,"Autauga County, AL",01001,76.61894,77.98832,78.16508
HOWNRATEACS001003,Homeownership Rate (5-year estimate) by County,Rate,"Baldwin County, AL",01003,79.05756,80.32032,80.15718
HOWNRATEACS001005,Homeownership Rate (5-year estimate) by County,Rate,"Barbour County, AL",01005,62.84369,67.89712,68.0959
HOWNRATEACS001007,Homeownership Rate (5-year estimate) by County,Rate,"Bibb County, AL",01007,80.66946,78.65098,80.25999
HOWNRATEACS001009,Homeownership Rate (5-year estimate) by County,Rate,"Blount County, AL",01009,82.68954,83.68597,83.68869
HOWNRATEACS001011,Homeownership Rate (5-year estimate) by County,Rate,"Bullock County, AL",01011,64.13544,63.36809,63.0125
HOWNRATEACS001013,Homeownership Rate (5-year estimate) by County,Rate,"Butler County, AL",01013,72.39462,70.97501,70.5418
HOWNRATEACS001015,Homeownership Rate (5-year estimate) by County,Rate,"Calhoun County, AL",01015,71.49016,71.47226,71.21235
HOWNRATEACS001017,Homeownership Rate (5-year estimate) by County,Rate,"Chambers County, AL",01017,69.40257,72.78507,71.21459
HOWNRATEACS001019,Homeownership Rate (5-year estimate) by County,Rate,"Cherokee County, AL",01019,79.62858,81.97085,81.39209
HOWNRATEACS001021,Homeownership Rate (5-year estimate) by County,Rate,"Chilton County, AL",01021,74.08550,76.19794,78.75341
HOWNRATEACS001023,Homeownership Rate (5-year estimate) by County,Rate,"Choctaw County, AL",01023,79.83852,79.06065,80.31343
HOWNRATEACS001025,Homeownership Rate (5-year estimate) by County,Rate,"Clarke County, AL",01025,77.70974,77.095,76.13125
HOWNRATEACS001027,Homeownership Rate (5-year estimate) by County,Rate,"Clay County, AL",01027,78.71365,80.46175,80.19078
HOWNRATEACS001029,Homeownership Rate (5-year estimate) by County,Rate,"Cleburne County, AL",01029,78.85442,80.17362,82.47962
HOWNRATEACS001031,Homeownership Rate (5-year estimate) by County,Rate,"Coffee County, AL",01031,67.69213,69.04519,69.53376
HOWNRATEACS001033,Homeownership Rate (5-year estimate) by County,Rate,"Colbert County, AL",01033,74.62215,74.00655,73.46889
HOWNRATEACS001035,Homeownership Rate (5-year estimate) by County,Rate,"Conecuh County, AL",01035,77.53833,74.21427,72.67031
HOWNRATEACS001037,Homeownership Rate (5-year estimate) by County,Rate,"Coosa County, AL",01037,81.09290,82.07443,79.85179
HOWNRATEACS001039,Homeownership Rate (5-year estimate) by County,Rate,"Covington County, AL",01039,76.74324,76.38512,76.88628
HOWNRATEACS001041,Homeownership Rate (5-year estimate) by County,Rate,"Crenshaw County, AL",01041,74.08678,75.48815,77.20941
HOWNRATEACS001043,Homeownership Rate (5-year estimate) by County,Rate,"Cullman County, AL",01043,75.58954,77.44562,77.41307
HOWNRATEACS001045,Homeownership Rate (5-year estimate) by County,Rate,"Dale County, AL",01045,56.94456,57.05281,57.76837
HOWNRATEACS001047,Homeownership Rate (5-year estimate) by County,Rate,"Dallas County, AL",01047,64.16496,66.59515,66.79079
HOWNRATEACS001049,Homeownership Rate (5-year estimate) by County,Rate,"De Kalb County, AL",01049,74.39960,74.39302,77.43626
HOWNRATEACS001051,Homeownership Rate (5-year estimate) by County,Rate,"Elmore County, AL",01051,77.41748,79.08223,78.98362
HOWNRATEACS001053,Homeownership Rate (5-year estimate) by County,Rate,"Escambia County, AL",01053,66.56972,67.95044,69.40867
HOWNRATEACS001055,Homeownership Rate (5-year estimate) by County,Rate,"Etowah County, AL",01055,74.50942,74.93789,75.41269
HOWNRATEACS001057,Homeownership Rate (5-year estimate) by County,Rate,"Fayette County, AL",01057,74.54444,73.72048,77.20968
HOWNRATEACS001059,Homeownership Rate (5-year estimate) by County,Rate,"Franklin County, AL",01059,71.70232,75.6997,74.52961
HOWNRATEACS001061,Homeownership Rate (5-year estimate) by County,Rate,"Geneva County, AL",01061,71.25640,74.41058,77.20558
HOWNRATEACS001063,Homeownership Rate (5-year estimate) by County,Rate,"Greene County, AL",01063,74.61280,73.57718,69.86613
HOWNRATEACS001065,Homeownership Rate (5-year estimate) by County,Rate,"Hale County, AL",01065,82.19581,81.69489,82.07508
HOWNRATEACS001067,Homeownership Rate (5-year estimate) by County,Rate,"Henry County, AL",01067,84.23047,82.69548,83.26063
HOWNRATEACS001069,Homeownership Rate (5-year estimate) by County,Rate,"Houston County, AL",01069,65.63702,65.90295,64.42562
HOWNRATEACS001071,Homeownership Rate (5-year estimate) by County,Rate,"Jackson County, AL",01071,77.80324,77.56246,77.28213
HOWNRATEACS001073,Homeownership Rate (5-year estimate) by County,Rate,"Jefferson County, AL",01073,66.80607,67.21337,67.40261
HOWNRATEACS001075,Homeownership Rate (5-year estimate) by County,Rate,"Lamar County, AL",01075,78.57506,79.61937,78.60383
HOWNRATEACS001077,Homeownership Rate (5-year estimate) by County,Rate,"Lauderdale County, AL",01077,71.22436,71.39247,71.18905
HOWNRATEACS001079,Homeownership Rate (5-year estimate) by County,Rate,"Lawrence County, AL",01079,77.54810,78.31974,81.75938
HOWNRATEACS001081,Homeownership Rate (5-year estimate) by County,Rate,"Lee County, AL",01081,67.56414,68.86535,68.97398
HOWNRATEACS001083,Homeownership Rate (5-year estimate) by County,Rate,"Limestone County, AL",01083,80.11729,79.97747,80.07713
HOWNRATEACS001085,Homeownership Rate (5-year estimate) by County,Rate,"Lowndes County, AL",01085,79.61640,79.6722,79.06764
HOWNRATEACS001087,Homeownership Rate (5-year estimate) by County,Rate,"Macon County, AL",01087,63.70804,62.18726,64.01025
HOWNRATEACS001089,Homeownership Rate (5-year estimate) by County,Rate,"Madison County, AL",01089,71.65396,72.03052,72.86449
HOWNRATEACS001091,Homeownership Rate (5-year estimate) by County,Rate,"Marengo County, AL",01091,71.75557,71.40667,73.37842
HOWNRATEACS001093,Homeownership Rate (5-year estimate) by County,Rate,"Marion County, AL",01093,76.36993,75.54257,79.44446
HOWNRATEACS001095,Homeownership Rate (5-year estimate) by County,Rate,"Marshall County, AL",01095,72.72038,73.926,74.41205
HOWNRATEACS001097,Homeownership Rate (5-year estimate) by County,Rate,"Mobile County, AL",01097,65.79365,65.99115,67.92318
HOWNRATEACS001099,Homeownership Rate (5-year estimate) by County,Rate,"Monroe County, AL",01099,75.33819,75.99448,74.89659
HOWNRATEACS001101,Homeownership Rate (5-year estimate) by County,Rate,"Montgomery County, AL",01101,58.34294,58.21449,58.37229
HOWNRATEACS001103,Homeownership Rate (5-year estimate) by County,Rate,"Morgan County, AL",01103,73.41352,74.67193,74.53541
HOWNRATEACS001105,Homeownership Rate (5-year estimate) by County,Rate,"Perry County, AL",01105,74.12003,70.55475,68.66504
HOWNRATEACS001107,Homeownership Rate (5-year estimate) by County,Rate,"Pickens County, AL",01107,76.13630,75.62645,76.45412
HOWNRATEACS001109,Homeownership Rate (5-year estimate) by County,Rate,"Pike County, AL",01109,64.64145,64.5766,63.03691
HOWNRATEACS001111,Homeownership Rate (5-year estimate) by County,Rate,"Randolph County, AL",01111,80.13113,80.28521,81.10233
HOWNRATEACS001113,Homeownership Rate (5-year estimate) by County,Rate,"Russell County, AL",01113,63.50721,62.91092,64.06384
HOWNRATEACS001115,Homeownership Rate (5-year estimate) by County,Rate,"St. Clair County, AL",01115,79.57837,81.22707,82.29585
HOWNRATEACS001117,Homeownership Rate (5-year estimate) by County,Rate,"Shelby County, AL",01117,82.81483,82.77595,83.04672
HOWNRATEACS001119,Homeownership Rate (5-year estimate) by County,Rate,"Sumter County, AL",01119,66.03177,68.00922,70.28161
HOWNRATEACS001121,Homeownership Rate (5-year estimate) by County,Rate,"Talladega County, AL",01121,72.46140,73.23771,74.00965
HOWNRATEACS001123,Homeownership Rate (5-year estimate) by County,Rate,"Tallapoosa County, AL",01123,75.82236,76.43016,76.81724
HOWNRATEACS001125,Homeownership Rate (5-year estimate) by County,Rate,"Tuscaloosa County, AL",01125,66.40937,66.35583,66.46248
HOWNRATEACS001127,Homeownership Rate (5-year estimate) by County,Rate,"Walker County, AL",01127,76.61273,77.48084,77.95642
HOWNRATEACS001129,Homeownership Rate (5-year estimate) by County,Rate,"Washington County, AL",01129,92.20510,89.84825,85.7275
HOWNRATEACS001131,Homeownership Rate (5-year estimate) by County,Rate,"Wilcox County, AL",01131,76.47283,77.73109,77.77231
HOWNRATEACS001133,Homeownership Rate (5-year estimate) by County,Rate,"Winston County, AL",01133,79.08553,77.5842,76.43392
HOWNRATEACS002013,Homeownership Rate (5-year estimate) by County,Rate,"Aleutians East Borough, AK",02013,64.82391,61.41079,61.92394
HOWNRATEACS002016,Homeownership Rate (5-year estimate) by County,Rate,"Aleutians West Census Area, AK",02016,22.29019,26.89189,32.41477
HOWNRATEACS002020,Homeownership Rate (5-year estimate) by County,Rate,"Anchorage Borough/municipality, AK",02020,64.84577,66.13976,66.52915
HOWNRATEACS002050,Homeownership Rate (5-year estimate) by County,Rate,"Bethel Census Area, AK",02050,64.45484,65.41112,66.72579
HOWNRATEACS002060,Homeownership Rate (5-year estimate) by County,Rate,"Bristol Bay Borough, AK",02060,61.10381,57.7135,59.10405
HOWNRATEACS002068,Homeownership Rate (5-year estimate) by County,Rate,"Denali Borough, AK",02068,86.38535,90.96935,84.5515
HOWNRATEACS002070,Homeownership Rate (5-year estimate) by County,Rate,"Dillingham Census Area, AK",02070,69.81674,66.90696,67.01547
HOWNRATEACS002090,Homeownership Rate (5-year estimate) by County,Rate,"Fairbanks North Star Borough, AK",02090,62.61485,63.62326,65.09338
HOWNRATEACS002100,Homeownership Rate (5-year estimate) by County,Rate,"Haines Borough, AK",02100,74.27043,70.59406,75.49702
HOWNRATEACS002105,Homeownership Rate (5-year estimate) by County,Rate,"Hoonah-Angoon Census Area, AK",02105,75.67321,75.60976,74.84891
HOWNRATEACS002110,Homeownership Rate (5-year estimate) by County,Rate,"Juneau Borough/city, AK",02110,68.48004,67.43175,68.98281
HOWNRATEACS002122,Homeownership Rate (5-year estimate) by County,Rate,"Kenai Peninsula Borough, AK",02122,76.26462,77.87922,78.87603
HOWNRATEACS002130,Homeownership Rate (5-year estimate) by County,Rate,"Ketchikan Gateway Borough, AK",02130,67.51369,67.42958,68.81451
HOWNRATEACS002150,Homeownership Rate (5-year estimate) by County,Rate,"Kodiak Island Borough, AK",02150,55.33188,57.70963,61.80701
HOWNRATEACS002164,Homeownership Rate (5-year estimate) by County,Rate,"Lake and Peninsula Borough, AK",02164,62.27273,66.00928,60.97852
HOWNRATEACS002170,Homeownership Rate (5-year estimate) by County,Rate,"Matanuska-Susitna Borough, AK",02170,80.01849,79.91227,79.96488
HOWNRATEACS002180,Homeownership Rate (5-year estimate) by County,Rate,"Nome Census Area, AK",02180,70.09633,69.37574,70.01395
HOWNRATEACS002185,Homeownership Rate (5-year estimate) by County,Rate,"North Slope Borough, AK",02185,53.01567,48.72485,52.32478
