Series ID,Series Name,Units,Region Name,Region Code,2021-01-01,2022-01-01,2023-01-01
ALAUTA1POP,Resident Population by County,Thousands of Persons,"Autauga County, AL",01001,59.191,59.736,60.436
ALBALD0POP,Resident Population by County,Thousands of Persons,"Baldwin County, AL",01003,239.411,246.577,254.107
ALBARB5POP,Resident Population by County,Thousands of Persons,"Barbour County, AL",01005,24.517,24.722,24.644
ALBIBB7POP,Resident Population by County,Thousands of Persons,"Bibb County, AL",01007,22.344,21.983,21.89
ALBLOU9POP,Resident Population by County,Thousands of Persons,"Blount County, AL",01009,59.050,59.491,59.777
ALBULL1POP,Resident Population by County,Thousands of Persons,"Bullock County, AL",01011,10.126,10.126,9.908
ALBUTL3POP,Resident Population by County,Thousands of Persons,"Butler County, AL",01013,18.856,18.652,18.357
ALCALH5POP,Resident Population by County,Thousands of Persons,"Calhoun County, AL",01015,115.633,115.744,116.403
ALCHAM7POP,Resident Population by County,Thousands of Persons,"Chambers County, AL",01017,34.396,34.093,34.087
ALCHER9POP,Resident Population by County,Thousands of Persons,"Cherokee County, AL",01019,25.060,25.334,25.7
ALCHIL1POP,Resident Population by County,Thousands of Persons,"Chilton County, AL",01021,45.255,45.856,46.525
ALCHOC3POP,Resident Population by County,Thousands of Persons,"Choctaw County, AL",01023,12.544,12.42,12.263
ALCLAR5POP,Resident Population by County,Thousands of Persons,"Clarke County, AL",01025,22.735,22.545,22.305
ALCLAY7POP,Resident Population by County,Thousands of Persons,"Clay County, AL",01027,14.156,14.198,14.157
ALCLEB9POP,Resident Population by County,Thousands of Persons,"Cleburne County, AL",01029,15.151,15.353,15.658
ALCOFF1POP,Resident Population by County,Thousands of Persons,"Coffee County, AL",01031,54.201,54.769,55.707
ALCOLB0POP,Resident Population by County,Thousands of Persons,"Colbert County, AL",01033,57.615,58.023,58.382
ALCONE5POP,Resident Population by County,Thousands of Persons,"Conecuh County, AL",01035,11.317,11.22,11.177
ALCOOS7POP,Resident Population by County,Thousands of Persons,"Coosa County, AL",01037,10.321,10.283,10.267
ALCOVI9POP,Resident Population by County,Thousands of Persons,"Covington County, AL",01039,37.512,37.508,37.861
ALCREN1POP,Resident Population by County,Thousands of Persons,"Crenshaw County, AL",01041,13.062,13.096,13.168
ALCULL0POP,Resident Population by County,Thousands of Persons,"Cullman County, AL",01043,89.578,90.597,91.909
ALDALE5POP,Resident Population by County,Thousands of Persons,"Dale County, AL",01045,49.344,49.472,49.852
ALDALL0POP,Resident Population by County,Thousands of Persons,"Dallas County, AL",01047,37.496,36.772,36.294
ALDEKA7POP,Resident Population by County,Thousands of Persons,"De Kalb County, AL",01049,71.880,72.046,72.626
ALELMO1POP,Resident Population by County,Thousands of Persons,"Elmore County, AL",01051,88.734,89.566,90.416
ALESCA3POP,Resident Population by County,Thousands of Persons,"Escambia County, AL",01053,36.628,36.62,36.582
ALETOW1POP,Resident Population by County,Thousands of Persons,"Etowah County, AL",01055,102.887,102.821,103.174
ALFAYE7POP,Resident Population by County,Thousands of Persons,"Fayette County, AL",01057,16.119,16.041,15.913
ALFRAN9POP,Resident Population by County,Thousands of Persons,"Franklin County, AL",01059,31.991,31.947,31.941
ALGENE1POP,Resident Population by County,Thousands of Persons,"Geneva County, AL",01061,26.632,26.787,27.052
ALGREE3POP,Resident Population by County,Thousands of Persons,"Greene County, AL",01063,7.583,7.412,7.299
ALHALE5POP,Resident Population by County,Thousands of Persons,"Hale County, AL",01065,14.715,14.613,14.931
ALHENR7POP,Resident Population by County,Thousands of Persons,"Henry County, AL",01067,17.412,17.638,17.872
ALHOUS5POP,Resident Population by County,Thousands of Persons,"Houston County, AL",01069,107.412,108.063,108.556
ALJACK7POP,Resident Population by County,Thousands of Persons,"Jackson County, AL",01071,52.688,52.842,53.423
ALJEFF5POP,Resident Population by County,Thousands of Persons,"Jefferson County, AL",01073,669.677,665.543,664.084
ALLAMA5POP,Resident Population by County,Thousands of Persons,"Lamar County, AL",01075,13.725,13.628,13.616
ALLAUD0POP,Resident Population by County,Thousands of Persons,"Lauderdale County, AL",01077,94.846,95.903,96.867
ALLAWR9POP,Resident Population by County,Thousands of Persons,"Lawrence County, AL",01079,33.052,33.182,33.505
ALLEEC5POP,Resident Population by County,Thousands of Persons,"Lee County, AL",01081,177.652,181.044,184.271
ALLIME3POP,Resident Population by County,Thousands of Persons,"Limestone County, AL",01083,107.285,110.926,114.803
ALLOWN5POP,Resident Population by County,Thousands of Persons,"Lowndes County, AL",01085,9.936,9.778,9.682
ALMACO7POP,Resident Population by County,Thousands of Persons,"Macon County, AL",01087,18.917,18.561,18.347
ALMADI9POP,Resident Population by County,Thousands of Persons,"Madison County, AL",01089,396.663,404.155,413.891
ALMARE1POP,Resident Population by County,Thousands of Persons,"Marengo County, AL",01091,18.978,18.79,18.705
ALMARI3POP,Resident Population by County,Thousands of Persons,"Marion County, AL",01093,28.972,29.171,29.279
ALMARS0POP,Resident Population by County,Thousands of Persons,"Marshall County, AL",01095,98.268,99.57,101.041
ALMOBI7POP,Resident Population by County,Thousands of Persons,"Mobile County, AL",01097,413.164,411.291,411.745
ALMONR9POP,Resident Population by County,Thousands of Persons,"Monroe County, AL",01099,19.530,19.403,19.244
ALMONT1POP,Resident Population by County,Thousands of Persons,"Montgomery County, AL",01101,226.811,226.554,225.966
ALMORG5POP,Resident Population by County,Thousands of Persons,"Morgan County, AL",01103,123.270,124.218,125.455
ALPERR5POP,Resident Population by County,Thousands of Persons,"Perry County, AL",01105,8.314,7.893,7.772
ALPICK7POP,Resident Population by County,Thousands of Persons,"Pickens County, AL",01107,18.615,18.78,18.741
ALPIKE9POP,Resident Population by County,Thousands of Persons,"Pike County, AL",01109,32.748,32.998,33.163
ALRAND1POP,Resident Population by County,Thousands of Persons,"Randolph County, AL",01111,22.157,22.442,22.789
ALRUSS3POP,Resident Population by County,Thousands of Persons,"Russell County, AL",01113,58.651,58.522,58.792
ALSTCL5POP,Resident Population by County,Thousands of Persons,"St. Clair County, AL",01115,92.850,93.879,95.487
ALSHEL0POP,Resident Population by County,Thousands of Persons,"Shelby County, AL",01117,227.436,230.14,233.593
ALSUMT9POP,Resident Population by County,Thousands of Persons,"Sumter County, AL",01119,11.960,11.894,11.737
ALTALL0POP,Resident Population by County,Thousands of Persons,"Talladega County, AL",01121,80.556,80.674,81.083
ALTALL3POP,Resident Population by County,Thousands of Persons,"Tallapoosa County, AL",01123,41.084,40.91,40.709
ALTUSC2POP,Resident Population by County,Thousands of Persons,"Tuscaloosa County, AL",01125,236.699,237.995,239.204
ALWALK5POP,Resident Population by County,Thousands of Persons,"Walker County, AL",01127,64.552,64.408,64.845
ALWASH9POP,Resident Population by County,Thousands of Persons,"Washington County, AL",01129,15.226,15.098,15.04
ALWILC1POP,Resident Population by County,Thousands of Persons,"Wilcox County, AL",01131,10.411,10.124,9.925
ALWINS3POP,Resident Population by County,Thousands of Persons,"Winston County, AL",01133,23.639,23.741,23.673
AKALEU3POP,Resident Population by County,Thousands of Persons,"Aleutians East Borough, AK",02013,3.416,3.453,3.529
AKALEU0POP,Resident Population by County,Thousands of Persons,"Aleutians West Census Area, AK",02016,5.156,5.115,5.257
AKANCH0POP,Resident Population by County,Thousands of Persons,"Anchorage Borough/municipality, AK",02020,288.921,287.52,287.932
AKBETH0POP,Resident Population by County,Thousands of Persons,"Bethel Census Area, AK",02050,18.589,18.272,18.199
AKBRIS0POP,Resident Population by County,Thousands of Persons,"Bristol Bay Borough, AK",02060,0.842,0.877,0.859
AKDENA8POP,Resident Population by County,Thousands of Persons,"Denali Borough, AK",02068,1.595,1.583,1.595
AKDILL0POP,Resident Population by County,Thousands of Persons,"Dillingham Census Area, AK",02070,4.794,4.716,4.626
AKFAIR0POP,Resident Population by County,Thousands of Persons,"Fairbanks North Star Borough, AK",02090,95.553,95.749,95.7
AKHAIN0POP,Resident Population by County,Thousands of Persons,"Haines Borough, AK",02100,2.075,2.079,2.088
AKJUNE0POP,Resident Population by County,Thousands of Persons,"Juneau Borough/city, AK",02110,31.972,31.742,31.483
AKKENA2POP,Resident Population by County,Thousands of Persons,"Kenai Peninsula Borough, AK",02122,59.947,60.631,61.285
AKKETC0POP,Resident Population by County,Thousands of Persons,"Ketchikan Gateway Borough, AK",02130,13.823,13.719,13.708
AKKODI0POP,Resident Population by County,Thousands of Persons,"Kodiak Island Borough, AK",02150,12.844,12.655,12.659
AKLAKE4POP,Resident Population by County,Thousands of Persons,"Lake and Peninsula Borough, AK",02164,1.421,1.375,1.337
AKMATA0POP,Resident Population by County,Thousands of Persons,"Matanuska-Susitna Borough, AK",02170,111.003,113.505,115.296
AKNOME0POP,Resident Population by County,Thousands of Persons,"Nome Census Area, AK",02180,9.882,9.804,9.79
AKNORT5POP,Resident Population by County,Thousands of Persons,"North Slope Borough, AK",02185,10.969,10.789,10.621
AKNORT8POP,Resident Population by County,Thousands of Persons,"Northwest Arctic Borough, AK",02188,7.588,7.401,7.286
AKSITK0POP,Resident Population by County,Thousands of Persons,"Sitka Borough/city, AK",02220,8.382,8.37,8.304
AKSKAG1POP,Resident Population by County,Thousands of Persons,"Skagway Municipality, AK",02230,1.149,1.096,1.101
AKSOUT0POP,Resident Population by County,Thousands of Persons,"Southeast Fairbanks Census Area, AK",02240,7.015,7.039,7.148
AKVALD1POP,Resident Population by County,Thousands of Persons,"Valdez-Cordova Census Area, AK",02261,,,
AKWADE0POP,Resident Population by County,Thousands of Persons,"Kusilvak Census Area, AK",02270,,,
